,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
29,Port Macquarie,AU,1589910038,-31.43,152.92,53.01,97,92,4.29
30,Najrān,SA,1589910038,17.49,44.13,80.6,36,75,11.41
31,Klaksvík,FO,1589910038,62.23,-6.59,46.4,81,99,13.87
32,Cockburn Town,TC,1589910038,21.46,-71.14,84.2,74,40,18.34
33,Hobart,AU,1589910005,-42.88,147.33,59.0,62,75,14.99
34,Yellowknife,CA,1589909781,62.46,-114.35,35.6,51,20,9.17
35,Saldanha,ZA,1589910039,-33.01,17.94,64.4,63,9,5.82
36,Newport,GB,1589909965,51.59,-3.0,64.99,65,1,1.99
37,Saint-Philippe,RE,1589910039,-21.36,55.77,69.8,73,75,9.17
38,Nikolskoye,RU,1589910039,59.7,30.79,48.2,71,20,8.95
39,Hambantota,LK,1589910039,6.12,81.12,83.43,78,98,23.51
40,Omboué,GA,1589910039,-1.57,9.26,78.94,84,90,7.74
41,Saint Paul Harbor,US,1589910039,57.79,-152.41,46.4,75,90,9.17
42,Busselton,AU,1589910039,-33.65,115.33,53.01,96,51,1.01
43,Lüderitz,NA,1589910039,-26.65,15.16,82.4,17,47,1.12
44,East London,ZA,1589910039,-33.02,27.91,68.76,59,0,7.96
45,Port Keats,AU,1589910039,-14.25,129.55,79.41,44,89,10.36
46,Grand-Santi,GF,1589910040,4.25,-54.38,89.29,56,27,3.74
47,Provideniya,RU,1589910040,64.38,-173.3,33.37,83,0,9.35
48,Pevek,RU,1589910040,69.7,170.31,23.59,96,8,4.27
49,Glückstadt,DE,1589910040,53.78,9.42,62.01,74,41,1.99
50,Mataura,NZ,1589910040,-46.19,168.86,34.57,94,45,2.68
51,Avarua,CK,1589910040,-21.21,-159.78,71.6,73,40,5.82
52,Pimpri,IN,1589910040,18.62,73.8,78.57,68,21,9.15
53,Dikson,RU,1589910025,73.51,80.55,32.18,97,99,7.56
54,Port Alfred,ZA,1589910040,-33.59,26.89,61.0,91,3,3.0
55,Kondinskoye,RU,1589910040,59.65,67.41,59.56,89,98,10.42
56,Longyearbyen,SJ,1589910040,78.22,15.64,35.6,64,75,5.82
57,Fort Nelson,CA,1589909952,58.81,-122.7,42.8,75,90,8.05
58,Eenhana,NA,1589910040,-17.47,16.33,66.18,31,0,7.0
59,Hermanus,ZA,1589910041,-34.42,19.23,55.0,90,0,4.23
60,Sistranda,NO,1589910041,63.73,8.83,46.4,61,20,10.29
61,Dolzhanskaya,RU,1589910041,46.63,37.8,61.0,100,21,5.01
62,Butaritari,KI,1589910041,3.07,172.79,83.1,80,54,15.43
63,Vaini,TO,1589910041,-21.2,-175.2,73.4,94,90,5.82
64,Presidencia Roque Sáenz Peña,AR,1589910041,-26.79,-60.44,85.87,36,0,10.89
65,Ilulissat,GL,1589910041,69.22,-51.1,32.0,71,75,5.82
66,Vardø,NO,1589910041,70.37,31.11,39.2,69,40,4.7
67,Batemans Bay,AU,1589910041,-35.72,150.18,51.01,100,100,5.32
68,Honiara,SB,1589910041,-9.43,159.95,78.49,80,28,6.67
69,Kapaa,US,1589909912,22.08,-159.32,75.2,88,75,13.87
70,Kajaani,FI,1589910041,64.23,27.73,44.6,65,75,8.05
71,Tasiilaq,GL,1589910041,65.61,-37.64,32.0,90,20,3.36
72,Winslow,US,1589910041,35.02,-110.7,77.0,13,1,25.28
73,Kasempa,ZM,1589910042,-13.46,25.83,60.98,55,0,4.81
74,Alofi,NU,1589910042,-19.06,-169.92,73.4,88,90,5.82
75,Puerto Ayora,EC,1589910042,-0.74,-90.35,86.0,58,40,13.87
76,Luwuk,ID,1589910042,-0.95,122.79,78.64,80,100,2.62
77,Nadvoitsy,RU,1589910042,63.87,34.32,36.97,78,48,8.61
78,Bafia,CM,1589910042,4.75,11.23,74.14,91,73,3.78
79,Lamar,US,1589910042,33.67,-95.58,79.0,60,1,8.05
80,Upernavik,GL,1589910042,72.79,-56.15,33.66,88,49,7.83
81,Daud Khel,PK,1589910042,32.88,71.57,85.68,23,0,3.13
82,Verkhotur'ye,RU,1589910042,58.86,60.81,47.93,94,100,6.24
83,Cherrapunjee,IN,1589910042,25.3,91.7,59.18,100,100,4.05
84,Talnakh,RU,1589910043,69.49,88.4,44.6,75,99,11.18
85,Souillac,MU,1589910043,-20.52,57.52,73.4,60,75,9.17
86,Pingdingshan,CN,1589910043,33.74,113.3,72.32,41,100,2.64
87,Camacha,PT,1589910043,33.08,-16.33,66.2,72,20,20.8
88,Oktyabr'skiy,RU,1589910043,54.48,53.47,50.58,90,100,3.62
89,Bambous Virieux,MU,1589910043,-20.34,57.76,73.4,60,75,9.17
90,Padang,ID,1589910043,-0.95,100.35,80.42,80,93,11.39
91,Noshiro,JP,1589910043,40.2,140.02,47.14,90,100,18.21
92,Bredasdorp,ZA,1589910043,-34.53,20.04,55.4,87,0,3.36
93,Umluj,SA,1589910043,25.02,37.27,86.0,51,0,9.37
94,Dingle,PH,1589910043,11.0,122.67,80.71,82,64,3.18
95,Rio Verde de Mato Grosso,BR,1589910043,-18.92,-54.84,84.15,45,7,7.29
96,Half Moon Bay,US,1589910043,37.46,-122.43,64.4,55,75,5.82
97,Chokurdakh,RU,1589910043,70.63,147.92,20.88,95,0,5.73
98,Mahébourg,MU,1589910044,-20.41,57.7,73.4,60,75,9.17
99,São Filipe,CV,1589910044,14.9,-24.5,72.91,76,5,11.03
100,Cherskiy,RU,1589910044,68.75,161.3,34.43,81,0,5.35
101,Poum,NC,1589910044,-20.23,164.02,70.99,69,18,8.75
102,Anadyr,RU,1589910044,64.75,177.48,28.4,74,0,4.47
103,Utete,TZ,1589910044,-7.99,38.76,68.0,98,100,1.79
104,Coquimbo,CL,1589909888,-29.95,-71.34,60.8,67,75,8.05
105,Bahía Honda,CU,1589910044,22.9,-83.16,84.61,72,5,5.23
106,Vila Velha,BR,1589910044,-20.33,-40.29,78.8,74,40,10.29
107,Westport,US,1589910044,41.14,-73.36,64.99,59,1,19.46
108,Belyy Yar,RU,1589910044,53.6,91.39,62.6,51,97,6.71
109,Pidvynohradiv,UA,1589910044,48.14,22.97,71.01,51,78,1.99
110,Rabat,MA,1589910045,33.99,-6.84,77.0,50,58,12.75
111,Kavieng,PG,1589910045,-2.57,150.8,83.21,82,50,16.2
112,Banjar,ID,1589910045,-8.19,114.97,80.6,100,40,1.12
113,Faanui,PF,1589910045,-16.48,-151.75,81.16,76,44,8.93
114,Vila,PT,1589910045,42.03,-8.16,81.0,56,9,6.93
115,Bandarbeyla,SO,1589910045,9.49,50.81,83.75,76,67,22.64
116,Quelimane,MZ,1589910045,-17.88,36.89,69.3,71,34,5.06
117,Bud,US,1589910045,39.45,-86.18,64.99,97,98,10.85
118,Jamestown,US,1589909970,42.1,-79.24,71.01,45,1,12.75
119,Nantucket,US,1589910045,41.28,-70.1,57.2,54,1,23.04
120,Thompson,CA,1589910045,55.74,-97.86,64.4,45,90,13.87
121,Abu Kamal,SY,1589910045,34.45,40.92,91.0,17,4,18.52
122,Sayyan,YE,1589910045,15.17,44.32,67.96,35,80,3.69
123,São João da Barra,BR,1589909758,-21.64,-41.05,80.6,61,75,16.11
124,Ancud,CL,1589910045,-41.87,-73.82,52.0,81,20,8.05
125,Katsuura,JP,1589910045,35.13,140.3,60.8,93,75,12.75
126,Smithers,CA,1589909986,54.78,-127.17,51.8,66,90,2.24
127,North Bend,US,1589910046,43.41,-124.22,57.0,93,90,8.05
128,Kavaratti,IN,1589910046,10.57,72.64,85.53,75,76,16.17
129,Torbay,CA,1589910046,47.67,-52.73,36.0,93,90,9.17
130,Hilo,US,1589910046,19.73,-155.09,73.4,88,90,5.82
131,Tomatlán,MX,1589910046,19.93,-105.25,92.21,33,0,9.06
132,Cidreira,BR,1589910009,-30.18,-50.21,69.91,75,0,15.19
133,San Patricio,MX,1589910046,19.22,-104.7,82.4,65,5,5.82
134,Tukums,LV,1589910046,56.97,23.16,48.2,76,40,6.93
135,Yangi Marg`ilon,UZ,1589910046,40.43,71.72,68.0,45,100,4.7
136,Synya,RU,1589910046,65.37,58.04,49.39,74,97,1.63
137,Abhā,SA,1589910046,18.22,42.51,68.0,59,20,3.36
138,Madimba,TZ,1589910047,-10.4,40.33,77.67,78,93,12.91
139,Uarini,BR,1589910047,-2.99,-65.11,84.2,83,75,4.7
140,Fairbanks,US,1589909955,64.84,-147.72,53.6,25,75,8.05
141,Prince Rupert,CA,1589909751,54.32,-130.32,51.8,81,90,4.7
142,Haimen,CN,1589910047,23.19,116.61,75.2,88,75,4.47
143,Kalundborg,DK,1589910047,55.68,11.09,57.2,74,0,13.87
144,Arraial do Cabo,BR,1589910047,-22.97,-42.03,78.8,73,40,10.29
145,College,US,1589910047,64.86,-147.8,53.6,27,40,12.75
146,Kamina,CD,1589910047,-8.74,24.99,65.32,71,28,1.9
147,Dakar,SN,1589910047,14.69,-17.44,75.2,73,40,13.87
148,George Town,MY,1589909897,5.41,100.34,86.0,88,20,3.36
149,Rapid City,US,1589910047,44.08,-103.23,78.01,60,1,24.16
150,Hervey Bay,AU,1589910047,-25.3,152.85,63.0,93,90,8.05
151,Sola,VU,1589910047,-13.88,167.55,77.74,78,95,21.68
152,Yakovlevka,RU,1589910048,44.42,133.48,34.61,84,100,2.57
153,Lorengau,PG,1589910048,-2.02,147.27,83.05,82,41,13.62
154,Port Elizabeth,ZA,1589909917,-33.92,25.57,60.8,87,0,4.7
155,Mar del Plata,AR,1589910048,-38.0,-57.56,68.0,64,22,14.99
156,Povenets,RU,1589910048,62.85,34.83,41.92,68,63,7.11
157,Vao,NC,1589910048,-22.67,167.48,71.38,74,7,20.74
158,Te Anau,NZ,1589910048,-45.42,167.72,36.48,83,12,1.23
159,Lishui,CN,1589910048,28.46,119.91,63.07,82,1,2.68
160,Waterloo,CA,1589910048,43.47,-80.52,59.0,51,90,16.11
161,Qaanaaq,GL,1589910048,77.48,-69.36,33.75,85,73,0.25
162,Lavrentiya,RU,1589910048,65.58,-171.0,26.04,94,0,10.67
163,Geraldton,AU,1589910048,-28.77,114.6,51.8,53,0,6.93
164,At-Bashi,KG,1589910048,41.17,75.81,49.64,48,91,3.62
165,Antigonish,CA,1589910049,45.62,-62.0,48.0,48,0,11.99
166,Cabadiangan,PH,1589910049,9.75,122.47,80.8,81,98,2.77
167,Alta,NO,1589910049,69.97,23.27,42.8,87,75,11.41
168,Banda Aceh,ID,1589910049,5.56,95.32,80.4,77,100,16.96
169,Iqaluit,CA,1589910049,63.75,-68.51,41.0,65,75,13.87
170,Erenhot,CN,1589910049,43.65,111.98,60.6,43,53,6.35
171,Lüshunkou,CN,1589910049,38.8,121.27,53.01,87,0,2.24
172,Mfou,CM,1589910049,3.72,11.64,70.97,96,75,4.05
173,Bathsheba,BB,1589910049,13.22,-59.52,87.8,62,75,16.11
174,Panama City,PA,1589909933,8.99,-79.52,84.99,83,40,6.93
175,Canguaretama,BR,1589910049,-6.38,-35.13,84.07,72,28,11.86
176,Yar-Sale,RU,1589910049,66.83,70.83,44.76,97,99,17.4
177,Mabaruma,GY,1589910049,8.2,-59.78,87.58,55,43,7.49
178,Auch,FR,1589910050,43.65,0.58,77.0,84,0,5.99
179,Yulara,AU,1589910050,-25.24,130.99,60.8,48,100,6.93
180,Novikovo,RU,1589910050,51.15,37.89,46.63,89,68,6.67
181,Lebu,CL,1589910050,-37.62,-73.65,54.12,85,100,5.75
182,Pacific Grove,US,1589909896,36.62,-121.92,62.6,63,40,6.93
183,Opuwo,NA,1589910050,-18.06,13.84,68.22,31,0,9.82
184,Tuktoyaktuk,CA,1589910050,69.45,-133.04,28.4,86,90,4.7
185,Port Blair,IN,1589910050,11.67,92.75,83.66,82,91,16.64
186,Okha,RU,1589910050,53.57,142.95,31.98,95,61,3.83
187,Nishihara,JP,1589910050,26.18,127.76,71.6,83,75,3.36
188,‘Āhuimanu,US,1589910050,21.44,-157.84,78.8,65,20,17.22
189,Hong Kong,HK,1589910005,22.29,114.16,82.0,83,8,7.52
190,Sovetskiy,RU,1589910050,61.36,63.58,54.34,97,100,8.08
191,Labuhan,ID,1589910051,-6.88,112.21,78.17,90,83,8.99
192,Samarai,PG,1589910051,-10.62,150.67,80.22,86,55,16.67
193,Zhangye,CN,1589910051,38.93,100.45,64.54,27,74,0.31
194,Verkhoyansk,RU,1589910051,67.54,133.38,42.31,66,0,6.29
195,Shiyan,CN,1589910051,32.65,110.78,67.44,66,100,1.68
196,Singapore,SG,1589909979,1.29,103.85,86.0,79,75,3.36
197,Tuatapere,NZ,1589910051,-46.13,167.68,38.07,78,74,5.95
198,Khatanga,RU,1589910051,71.97,102.5,37.17,96,99,9.42
199,Houndé,BF,1589910051,11.5,-3.52,97.5,29,48,2.71
200,Cuautitlán Izcalli,MX,1589909765,19.65,-99.25,77.0,27,20,5.82
201,Salalah,OM,1589909840,17.02,54.09,84.2,89,3,6.93
202,Ishigaki,JP,1589910051,24.34,124.16,76.53,81,100,0.34
203,Zambezi,ZM,1589910051,-13.54,23.1,65.3,51,0,4.59
204,Leh,IN,1589910052,34.17,77.58,41.63,48,20,3.69
205,Loei,TH,1589910052,17.42,101.5,66.83,100,97,4.41
206,Mtwara,TZ,1589910052,-10.27,40.18,77.76,77,99,13.35
207,Khovd,MN,1589909814,48.01,91.64,61.0,47,23,6.42
208,Yangambi,CD,1589910052,0.81,24.43,73.9,92,100,2.44
209,La Paz,BO,1589909772,-16.5,-68.15,57.2,24,20,9.17
210,Soyo,AO,1589910052,-6.13,12.37,80.1,80,91,8.01
211,Ponta do Sol,PT,1589910052,32.67,-17.1,73.4,53,20,20.8
212,Saint-Pierre,RE,1589910052,-21.34,55.48,69.8,73,75,9.17
213,Sitka,US,1589910052,57.05,-135.33,48.2,93,90,5.82
214,Mayo,US,1589910041,38.89,-76.51,68.0,36,1,18.34
215,Nieuw Nickerie,SR,1589910052,5.95,-56.98,82.08,80,52,5.79
216,Sambava,MG,1589910052,-14.27,50.17,74.14,80,22,15.26
217,Dubbo,AU,1589910053,-32.25,148.62,51.8,87,79,9.17
218,Mossamedes,AO,1589910053,-15.2,12.15,78.91,67,0,6.49
219,Río Gallegos,AR,1589909922,-51.62,-69.22,44.6,65,2,26.4
220,Chazuta,PE,1589910053,-6.57,-76.14,89.6,59,40,3.36
221,Salinas,US,1589909932,36.68,-121.66,62.6,59,75,6.76
222,Upington,ZA,1589910053,-28.45,21.26,69.8,22,48,4.7
223,Chapais,CA,1589910053,49.78,-74.85,55.4,28,1,5.82
224,Lac du Bonnet,CA,1589910053,50.25,-96.06,73.0,26,100,15.99
225,Shouguang,CN,1589910054,36.88,118.74,64.99,53,9,7.34
226,New Norfolk,AU,1589910054,-42.78,147.06,57.99,79,90,1.99
227,Elliot Lake,CA,1589909972,46.38,-82.63,60.8,29,1,17.22
228,Broome,US,1589910054,42.25,-75.83,69.01,31,1,10.29
229,Aswān,EG,1589910055,24.09,32.91,94.21,15,45,4.0
230,Pitimbu,BR,1589910055,-7.47,-34.81,87.8,66,75,12.75
231,Coihueco,CL,1589910055,-36.62,-71.83,53.6,100,90,4.7
232,São Félix do Xingu,BR,1589910055,-6.64,-51.99,83.53,78,88,4.94
233,Bethel,US,1589910055,41.37,-73.41,69.01,31,1,13.87
234,Avera,US,1589910056,33.19,-82.53,80.6,69,75,11.41
235,Saint George,US,1589910026,37.1,-113.58,70.0,34,90,24.16
236,Hithadhoo,MV,1589910056,-0.6,73.08,85.05,76,65,19.35
237,Marabá,BR,1589910056,-5.37,-49.12,78.8,100,40,4.7
238,Koutiala,ML,1589910057,12.39,-5.46,101.88,21,77,3.91
239,Iwanai,JP,1589910057,42.97,140.51,41.36,80,100,5.73
240,Omsukchan,RU,1589910057,62.53,155.8,27.45,95,12,4.54
241,Mongoumba,CF,1589910057,3.64,18.59,80.31,69,73,1.79
242,Moïssala,TD,1589910057,8.34,17.77,86.67,49,41,4.59
243,Codrington,AU,1589910057,-38.27,141.97,49.86,90,82,9.62
244,Disraeli,CA,1589910057,45.9,-71.35,62.01,32,90,3.0
245,Hamilton,US,1589910018,39.18,-84.53,64.0,88,90,6.93
246,Ust-Nera,RU,1589910057,64.57,143.2,34.97,83,28,4.63
247,Constitución,CL,1589910057,-35.33,-72.42,56.98,90,100,8.61
248,Kiruna,SE,1589910058,67.86,20.23,37.4,55,3,5.82
249,Merauke,ID,1589910058,-8.47,140.33,80.35,88,46,15.61
250,Porto-Novo,BJ,1589910058,6.5,2.6,82.4,74,20,4.7
251,Boa Vista,BR,1589910058,2.82,-60.67,89.6,52,75,10.29
252,Meulaboh,ID,1589910058,4.14,96.13,76.95,83,100,5.26
253,Inuvik,CA,1589910058,68.35,-133.72,30.2,58,90,2.24
254,Alcântara,BR,1589910058,-2.41,-44.41,89.6,66,75,13.87
255,Zhezkazgan,KZ,1589910058,47.8,67.71,54.37,59,94,7.0
256,Kota,IN,1589909954,25.18,75.83,93.51,14,4,7.78
257,Chui,UY,1589910058,-33.7,-53.46,73.09,60,8,7.38
258,Luangwa,ZM,1589910058,-15.62,30.42,63.3,49,0,2.89
259,Russell,US,1589910058,32.35,-85.2,78.01,57,75,4.7
260,Kaseda-shirakame,JP,1589910059,31.42,130.32,65.12,75,100,17.81
261,Saint Anthony,US,1589910059,45.02,-93.22,66.2,52,1,8.05
262,Kruisfontein,ZA,1589910059,-34.0,24.73,57.18,89,0,5.88
263,Camocim,BR,1589910059,-2.9,-40.84,84.24,78,4,8.99
264,Pisco,PE,1589910059,-13.7,-76.22,66.2,77,75,10.29
265,Northam,GB,1589910059,51.03,-4.22,61.0,81,19,4.0
266,Neiafu,TO,1589910059,-18.65,-173.98,75.2,88,20,6.93
267,Sertanópolis,BR,1589910059,-23.06,-51.04,82.4,39,20,11.41
268,Monrovia,LR,1589910059,6.3,-10.8,86.0,74,40,11.41
269,Lauda-Königshofen,DE,1589910059,49.57,9.7,73.0,37,20,12.75
270,Acapulco de Juárez,MX,1589910059,16.86,-99.89,89.6,27,5,5.82
271,Raudeberg,NO,1589910060,61.99,5.14,46.0,71,1,14.92
272,Leningradskiy,RU,1589910060,69.38,178.42,26.06,97,98,2.06
273,Lázaro Cárdenas,MX,1589910060,17.96,-102.2,87.31,41,0,10.71
274,Angoche,MZ,1589910060,-16.23,39.91,72.82,84,36,9.22
275,Susanville,US,1589910060,40.42,-120.65,53.6,40,75,12.75
276,Beringovskiy,RU,1589910060,63.05,179.32,28.56,96,100,14.41
277,Ketchikan,US,1589910061,55.34,-131.65,48.2,100,90,17.22
278,São Domingos,BR,1589910061,-13.4,-46.32,78.57,65,65,10.71
279,Hangu,CN,1589910061,39.25,117.79,68.0,49,72,4.47
280,Asău,RO,1589910061,46.43,26.4,77.0,47,26,6.93
281,Fortuna,US,1589910062,40.6,-124.16,57.0,93,90,10.29
282,Torremolinos,ES,1589910050,36.62,-4.5,81.0,42,20,6.93
283,Brenes,ES,1589910062,37.55,-5.87,90.0,29,50,2.24
284,Yumen,CN,1589910062,40.28,97.2,63.86,23,57,8.77
285,Nouadhibou,MR,1589910062,20.93,-17.03,75.2,60,0,17.22
286,Tilichiki,RU,1589910062,60.47,166.1,24.75,98,46,7.9
287,Baní,DO,1589909806,18.28,-70.33,89.6,55,75,18.34
288,Madingou,CG,1589910062,-4.15,13.55,78.21,85,99,1.92
289,Sibu,MY,1589910062,2.3,111.82,78.8,94,40,0.78
290,Evensk,RU,1589910062,61.95,159.23,34.97,82,0,8.28
291,Copperas Cove,US,1589910062,31.12,-97.9,95.0,49,1,6.93
292,Moranbah,AU,1589910063,-22.0,148.05,64.02,83,87,10.6
293,Bangangté,CM,1589910063,5.14,10.52,65.12,100,73,3.91
294,Pascagoula,US,1589910040,30.37,-88.56,87.8,55,20,8.05
295,Baker City,US,1589910023,44.77,-117.83,55.4,54,90,9.17
296,Gaza,PS,1589910063,31.5,34.47,84.99,29,0,1.99
297,Airai,TL,1589910063,-8.93,125.41,60.03,100,100,2.82
298,Hede,CN,1589910063,33.77,120.25,59.11,58,29,4.85
299,Nizhniy Chir,RU,1589910063,48.36,43.09,53.53,58,52,9.69
300,Severo-Yeniseyskiy,RU,1589910063,60.37,93.04,52.92,64,3,1.21
301,Flinders,AU,1589909902,-34.58,150.86,62.01,85,100,1.01
302,Kiryat Gat,IL,1589910063,31.61,34.76,95.0,48,0,13.04
303,Yenagoa,NG,1589910063,4.92,6.26,78.8,88,70,6.67
304,Tartous,SY,1589910063,34.89,35.89,86.0,55,2,2.24
305,Willowmore,ZA,1589910063,-33.29,23.49,57.54,37,0,3.42
306,Saint Andrews,US,1589910063,34.05,-81.13,81.0,51,75,10.29
307,Aklera,IN,1589910063,24.42,76.57,89.02,14,11,1.74
308,Baracoa,CU,1589910064,20.35,-74.5,89.78,55,70,5.82
309,Aba,NG,1589910064,5.11,7.37,79.18,84,74,6.15
310,Port Lincoln,AU,1589910064,-34.73,135.87,52.54,70,17,13.49
311,Shīeli,KZ,1589910064,44.17,66.75,62.92,36,67,9.04
312,Livingston,GB,1589910032,55.9,-3.52,62.6,77,90,12.75
313,Qaqortoq,GL,1589910064,60.72,-46.03,55.4,19,20,11.41
314,Douglas,US,1589910064,41.3,-96.17,61.0,72,90,6.89
315,Tynda,RU,1589910064,55.17,124.72,39.97,91,100,2.55
316,Upata,VE,1589910064,8.01,-62.4,96.48,26,39,7.09
317,Anloga,GH,1589910064,5.79,0.9,82.4,74,75,8.05
318,Blackwater,AU,1589910064,-23.58,148.88,59.86,90,50,7.16
319,Chaman,PK,1589910064,30.92,66.45,73.26,19,0,1.21
320,Olafsvik,IS,1589910064,64.89,-23.71,45.36,63,10,5.19
321,Naze,JP,1589910064,28.37,129.48,73.4,56,100,11.41
322,Lagos,NG,1589910002,6.58,3.75,80.6,83,40,2.24
323,Kathu,TH,1589910065,7.92,98.33,80.6,88,20,12.68
324,Constantine,DZ,1589909791,36.37,6.61,69.8,43,20,12.75
325,Buala,SB,1589910065,-8.14,159.59,80.89,83,16,8.86
326,Hoquiam,US,1589910065,46.98,-123.89,54.0,93,90,11.41
327,Bandar,ID,1589910065,2.05,99.75,75.11,93,98,2.8
328,Mahanje,TZ,1589910065,-9.93,35.33,62.38,85,50,1.21
329,Ayr,GB,1589910065,55.46,-4.63,59.0,93,75,3.36
330,Ponta Delgada,PT,1589910065,37.73,-25.67,64.4,82,75,13.87
331,Husavik,IS,1589910065,66.04,-17.34,50.0,39,20,8.05
332,Hoskote,IN,1589910065,13.07,77.8,78.8,83,40,12.75
333,Kuytun,RU,1589910065,54.34,101.5,50.81,61,31,5.73
334,Virginia Beach,US,1589909927,36.85,-75.98,59.0,82,90,17.22
335,Guerrero Negro,MX,1589910065,27.98,-114.06,71.02,61,52,20.47
336,Jiwani,PK,1589910066,25.05,61.74,86.47,64,0,5.41
337,Indiaroba,BR,1589910066,-11.52,-37.51,80.4,88,83,5.08
338,Tautira,PF,1589910066,-17.73,-149.15,78.8,83,75,2.24
339,Kuril'sk,RU,1589910066,45.23,147.88,34.12,90,56,7.78
340,Farmington,US,1589909929,36.73,-108.22,78.01,14,1,18.34
341,Sawākin,SD,1589910066,19.11,37.33,91.71,45,17,6.29
342,Black River,JM,1589910066,18.03,-77.85,90.0,70,40,11.41
343,Sembabule,UG,1589910066,-0.08,31.46,64.02,92,43,4.32
344,Bayir,TR,1589910066,37.27,28.22,80.6,57,97,2.24
345,Sirte,LY,1589909796,31.21,16.59,69.96,82,53,20.62
346,Narasannapeta,IN,1589910066,18.42,84.05,85.86,45,100,6.73
347,Timrå,SE,1589910066,62.49,17.33,50.0,46,98,10.29
348,Beibei,CN,1589910066,29.83,106.43,84.2,48,45,4.47
349,Nuuk,GL,1589910066,64.18,-51.72,35.6,84,90,6.93
350,Cody,US,1589910056,44.53,-109.06,73.99,35,1,13.87
351,Methóni,GR,1589909834,36.82,21.7,86.0,35,99,8.81
352,Aklavik,CA,1589910067,68.22,-135.01,30.2,58,90,2.24
353,Chauk,MM,1589910067,20.88,94.82,87.46,56,65,17.43
354,Vestmanna,FO,1589910067,62.16,-7.17,46.4,81,97,13.87
355,Dunedin,NZ,1589910067,-45.87,170.5,43.0,82,7,3.47
356,Esso,RU,1589910067,55.93,158.7,27.12,93,79,2.66
357,Mersing,MY,1589910067,2.43,103.84,82.4,88,99,4.7
358,Lompoc,US,1589910009,34.64,-120.46,64.0,67,40,9.17
359,Honningsvåg,NO,1589910067,70.98,25.97,37.4,86,75,5.82
360,Vágur,FO,1589910067,61.47,-6.81,47.46,89,100,11.12
361,Manokwari,ID,1589910068,-0.87,134.08,80.8,76,47,3.36
362,Mayumba,GA,1589910068,-3.43,10.66,78.33,84,91,5.57
363,São Francisco,BR,1589909869,-15.95,-44.86,80.85,58,11,8.21
364,De Aar,ZA,1589910068,-30.65,24.01,61.97,30,0,6.17
365,Ahipara,NZ,1589910068,-35.17,173.17,50.43,79,0,4.92
366,Grootfontein,NA,1589910068,-19.57,18.12,59.29,34,0,6.87
367,Mount Isa,AU,1589910068,-20.73,139.5,71.6,46,98,9.17
368,Vallenar,CL,1589910068,-28.57,-70.76,72.75,28,48,5.59
369,Glendive,US,1589910068,47.11,-104.71,71.01,62,61,1.01
370,Ewo,CG,1589910068,-0.87,14.82,77.07,84,100,4.7
371,Faya,SA,1589910068,18.39,42.45,68.0,59,20,3.36
372,Gorontalo,ID,1589910068,0.54,123.06,76.12,89,100,1.19
373,Bowen,AU,1589910068,-20.02,148.23,72.0,94,75,8.05
374,Praia da Vitória,PT,1589910069,38.73,-27.07,64.4,68,40,10.02
